Remoto,Local,Tamanho (KB)
/.bash_profile,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/.bash_profile,0.27
/.gemrc,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/.gemrc,0.04
/logs/access_log20250701,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250701,0.00
/logs/access_log20250702,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250702,0.00
/logs/access_log20250703,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250703,0.00
/logs/access_log20250704,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250704,0.00
/logs/access_log20250705,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250705,0.00
/logs/access_log20250706,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250706,0.00
/logs/access_log20250707,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250707,0.00
/logs/access_log20250708,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/access_log20250708,0.00
/logs/error_log20250701,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250701,0.00
/logs/error_log20250702,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250702,0.00
/logs/error_log20250703,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250703,0.00
/logs/error_log20250704,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250704,0.00
/logs/error_log20250705,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250705,0.00
/logs/error_log20250706,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250706,0.00
/logs/error_log20250707,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250707,0.00
/logs/error_log20250708,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/logs/error_log20250708,0.00
/php.ini,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/php.ini,4.75
/public_html/.htaccess,backup_ftp/ftp_aapuunesp1_hospedagemdesites_ws/20250708_092705/bkp_files/public_html/.htaccess,0.13
